PdmarticleID;ExternalKey;ParentID;ProductLevel;show_in_2024
29675;IMFSR60060000;30515;Item;yes
29676;IMFSR60168000;30515;Item;yes
29677;IMFSR60108000;30515;Item;yes
29678;IMFSR60219000;30515;Item;yes
29679;IMFSR70076000;30515;Item;yes
29680;IMFSR60054000;30515;Item;yes
29681;IMFSR60089000;30515;Item;yes
29682;IMFSR60133000;30515;Item;yes
29683;IMFSR60114000;30515;Item;yes
29684;IMFSR80089000;30515;Item;yes
29685;IMFSR70108000;30515;Item;yes
29686;IMFSR80168000;30515;Item;yes
29687;IMFSR80076000;30515;Item;yes
29693;IMFSR70114000;30515;Item;yes
29695;IMFSR80064000;30515;Item;yes
29696;IMFSR70089000;30515;Item;yes
29697;IMFSR80108000;30515;Item;yes
29698;IMFSR80114000;30515;Item;yes
29699;IMFSR80133000;30515;Item;yes
29703;IMFSR80219000;30515;Item;yes
29705;IMFSR80159000;30515;Item;yes
30574;IMFSR20048000;30515;Item;yes
30575;IMFSR25048000;30515;Item;yes
30576;IMFSR30076000;30515;Item;yes
30577;IMFSR50064000;30515;Item;yes
30578;IMFSR50108000;30515;Item;yes
30579;IMFSR60042000;30515;Item;yes
30580;IMFSR60018000;30515;Item;yes
30581;IMFSR70060000;30515;Item;yes
32084;IMFSR00108001;30515;Item;yes
33079;IMFSR00240000;30515;Item;yes
22272;IESAA00806000;20193;Item;yes
22273;IESAA00807000;20194;Item;yes
22274;IESAA00808000;20194;Item;yes
22275;IESAA00809000;20195;Item;yes
31586;IPRAC00000001;22365;Item;yes
31594;IPRAC00000000;22365;Item;yes
31832;IPRAF00000002;20191;Item;yes
31600;IPRAF00000000;20199;Item;yes
31602;IPRAF00000001;20199;Item;yes
22380;IPRCB06010000;22366;Item;yes
22381;IPRCB06020000;22366;Item;yes
22769;IPRCM00000000;20204;Item;yes
22770;IPRCTC0060000;20206;Item;yes
22771;IPRCTC0090000;20206;Item;yes
22772;IPRCTC0116000;20206;Item;yes
22773;IPRCTL0090000;20206;Item;yes
22774;IPRCTL0116000;20206;Item;yes
22775;IPRCTM0090000;20206;Item;yes
22776;IPRCTM0116000;20206;Item;yes
22777;IPRCTS0060000;20206;Item;yes
22778;IPRCTS0090000;20206;Item;yes
22779;IPRCTS0116000;20206;Item;yes
22223;IPRE100900000;20212;Item;yes
22224;IPRE200900000;20212;Item;yes
22325;IPRC100050000;20216;Item;yes
22326;IPRC100063000;20216;Item;yes
22327;IPRC100075000;20216;Item;yes
22328;IPRC100090000;20216;Item;yes
22329;IPRC100110000;20216;Item;yes
22330;IPRC100125000;20216;Item;yes
22331;IPRC100140000;20216;Item;yes
22332;IPRC100160000;20216;Item;yes
22202;IPRC200280000;20218;Item;yes
22203;IPRC200300000;20218;Item;yes
22204;IPRC200315000;20218;Item;yes
22205;IPRC200355000;20218;Item;yes
22206;IPRC200400000;20218;Item;yes
22333;IPRC200032000;20218;Item;yes
22334;IPRC200040000;20218;Item;yes
22335;IPRC200050000;20218;Item;yes
22336;IPRC200063000;20218;Item;yes
22337;IPRC200075000;20218;Item;yes
22338;IPRC200090000;20218;Item;yes
22339;IPRC200110000;20218;Item;yes
22340;IPRC200125000;20218;Item;yes
22341;IPRC200140000;20218;Item;yes
22342;IPRC200160000;20218;Item;yes
22343;IPRC200180000;20218;Item;yes
22344;IPRC200200000;20218;Item;yes
22345;IPRC200225000;20218;Item;yes
22346;IPRC200250000;20218;Item;yes
30020;IPRW100900000;20220;Item;yes
30026;IPRW200900000;20222;Item;yes
30029;IPRW300900000;20224;Item;yes
22393;IPRESGY000000;33049;Item;yes
40083;IPRID00000009;20226;Item;yes
32025;IASSH06240000;32823;Item;yes
32026;IASSH10240000;32823;Item;yes
32027;IASSH15240000;32823;Item;yes
32029;IASSH20240000;32823;Item;yes
32030;IASSH25240000;32823;Item;yes
22590;IASSH06240600;22414;Item;yes
22593;IASSH10240600;22414;Item;yes
22595;IASSH15240600;22414;Item;yes
22598;IASSH20240600;22414;Item;yes
22600;IASSH25240600;22414;Item;yes
13164;IASSH15120000;13118;Item;yes
13166;IASSH25120000;13118;Item;yes
22588;IASSH06120000;13118;Item;yes
22591;IASSH10120000;13118;Item;yes
22596;IASSH20120000;13118;Item;yes
22589;IASSH06120600;13119;Item;yes
22592;IASSH10120600;13119;Item;yes
22594;IASSH15120600;13119;Item;yes
22597;IASSH20120600;13119;Item;yes
22599;IASSH25120600;13119;Item;yes
23780;IESAA00391325;20088;Item;yes
23783;IESAA00391225;20088;Item;yes
12656;IAFSI13500000;24169;Item;yes
12657;IAFSI19500000;24169;Item;yes
12658;IAFSI25500000;24169;Item;yes
12659;IAFSI32500000;24169;Item;yes
30725;IACSI13500000;24169;Item;yes
30732;IACSI19500000;24169;Item;yes
30754;IACSI25500000;24169;Item;yes
30775;IACSI32500000;24169;Item;yes
30776;IACSI40500000;24169;Item;yes
30781;IACSI50500000;24169;Item;yes
12664;IAFSI13500600;12634;Item;yes
12665;IAFSI19500600;12634;Item;yes
12666;IAFSI25500600;12634;Item;yes
12667;IAFSI32500600;12634;Item;yes
23267;IACSI32500600;12634;Item;yes
23269;IACSI40500600;12634;Item;yes
23274;IACSI50500600;12634;Item;yes
